station,year,month,day,time,is_row_bad,Level,Battery
19160,2009,1,7,700,0,9.98,11.7
19160,2009,1,7,800,0,9.98,11.7
19160,2009,1,7,900,0,9.98,11.7
19160,2009,1,7,1000,0,9.98,11.7
19160,2009,1,7,1100,0,9.98,11.8
19160,2009,1,7,1200,0,9.98,11.8
19160,2009,1,7,1300,0,9.98,11.8
19160,2009,1,7,1400,0,9.98,11.8
19160,2009,1,7,1500,0,9.98,11.8
19160,2009,1,7,1600,0,9.98,11.8
19160,2009,1,7,1700,0,9.98,11.8
19160,2009,1,7,1800,0,9.98,11.8
19160,2009,1,7,1900,0,9.98,11.8
19160,2009,1,7,2000,0,9.98,11.8
19160,2009,1,7,2100,0,9.98,11.8
19160,2009,1,7,2200,0,9.98,11.8
19160,2009,1,7,2300,0,9.98,11.7
19160,2009,1,7,2400,0,9.98,11.7
19160,2009,1,8,100,0,9.98,11.7
19160,2009,1,8,200,0,9.98,11.7
19160,2009,1,8,300,0,9.98,11.7
19160,2009,1,8,400,0,9.98,11.7
19160,2009,1,8,500,0,9.98,11.7
19160,2009,1,8,600,0,9.98,11.7
19160,2009,1,8,700,0,9.98,11.7
19160,2009,1,8,800,0,9.98,11.7
19160,2009,1,8,900,0,9.98,11.7
19160,2009,1,8,1000,0,9.98,11.7
19160,2009,1,8,1100,0,9.98,11.7
19160,2009,1,8,1200,0,9.98,11.7
19160,2009,1,8,1300,0,9.98,11.7
19160,2009,1,8,1400,0,9.98,11.7
19160,2009,1,8,1500,0,9.98,11.7
19160,2009,1,8,1600,0,9.98,11.7
19160,2009,1,8,1700,0,9.98,11.7
19160,2009,1,8,1800,0,9.98,11.7
19160,2009,1,8,1900,0,9.98,11.7
19160,2009,1,8,2000,0,9.98,11.7
19160,2009,1,8,2100,0,9.98,11.7
19160,2009,1,8,2200,0,9.98,11.7
19160,2009,1,8,2300,0,9.98,11.7
19160,2009,1,8,2400,0,9.98,11.7
19160,2009,1,9,100,0,9.98,11.7
19160,2009,1,9,200,0,9.98,11.7
19160,2009,1,9,300,0,9.98,11.6
19160,2009,1,9,400,0,9.98,11.6
19160,2009,1,9,500,0,9.98,11.6
19160,2009,1,9,600,0,9.98,11.6
19160,2009,1,9,700,0,9.98,11.6
19160,2009,1,9,800,0,9.98,11.6
19160,2009,1,9,900,0,9.98,11.6
19160,2009,1,9,1000,0,9.98,11.6
19160,2009,1,9,1100,0,9.98,11.6
19160,2009,1,9,1200,0,9.98,11.7
19160,2009,1,9,1300,0,9.98,11.6
19160,2009,1,9,1400,0,9.98,11.7
19160,2009,1,9,1500,0,9.98,11.7
19160,2009,1,9,1600,0,9.98,11.7
19160,2009,1,9,1700,0,9.98,11.7
19160,2009,1,9,1800,0,9.98,11.6
19160,2009,1,9,1900,0,9.98,11.6
19160,2009,1,9,2000,0,9.98,11.6
19160,2009,1,9,2100,0,9.98,11.6
19160,2009,1,9,2200,0,9.98,11.6
19160,2009,1,9,2300,0,9.98,11.6
19160,2009,1,9,2400,0,9.98,11.6
19160,2009,1,10,100,0,9.98,11.6
19160,2009,1,10,200,0,9.98,11.6
19160,2009,1,10,300,0,9.98,11.6
19160,2009,1,10,400,0,9.98,11.6
